#Grid-Scan using Optidos
#Timet: 13-11-18-11:07:12
#Unit: Gy
#Duration: 60 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
26.9;26.6;0;0.3044;0;0
26.9;26.6;1;0.1197;0;0
26.9;26.6;2;0.04605;0;0
26.9;26.6;3;0.01638;0;0
26.9;26.6;4;0.00502;2;0
26.9;26.6;5;0.001226;2;0
26.9;26.6;6;0.00024;2;0
26.9;26.6;7;0.000077;2;0
26.9;26.6;8;0.000003;2;0
26.9;26.6;9;0.000002;2;0
26.9;26.6;10;0.000001;2;0
26.9;26.6;11;0;2;0
26.9;26.6;12;0.000002;2;0
26.9;26.6;13;0.000001;2;0
26.9;26.6;14;0;2;0
26.9;26.6;15;0;2;0
26.9;26.6;16;0;2;0
26.9;26.6;17;0;2;0
26.9;26.6;18;0;2;0
26.9;26.6;19;0;2;0
26.9;26.6;20;0;2;0
