#Grid-Scan using Optidos
#Timet: 13-11-18-13:12:31
#Unit: Gy
#Duration: 5 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
29.4;29.1;0;0.002405;0;0
29.4;29.1;0.3;0.002202;0;0
29.4;29.1;0.6;0.001964;0;0
29.4;29.1;0.9;0.001683;0;0
29.4;29.1;1.2;0.00143;0;0
29.4;29.1;1.5;0.001187;0;0
29.4;29.1;1.8;0.000955;1;0
29.4;29.1;2.1;0.000766;1;0
29.4;29.1;2.4;0.000593;1;0
29.4;29.1;2.7;0.000456;2;0
29.4;29.1;3;0.000334;2;0
29.4;29.1;3.3;0.000249;2;0
29.4;29.1;3.6;0.000181;2;0
29.4;29.1;3.9;0.000125;2;0
29.4;29.1;4.2;0.000086;2;0
29.4;29.1;4.5;0.000061;2;0
29.4;29.1;4.8;0.000038;2;0
29.4;29.1;5.1;0.000023;2;0
29.4;29.1;5.4;0.000019;2;0
29.4;29.1;5.7;0.00001;2;0
29.4;29.1;6;0.00001;2;0
28.4;29.1;6;0.00001;2;0
28.4;29.1;5.7;0.000017;2;0
28.4;29.1;5.4;0.000027;2;0
28.4;29.1;5.1;0.000031;2;0
28.4;29.1;4.8;0.000056;2;0
28.4;29.1;4.5;0.000084;2;0
28.4;29.1;4.2;0.000128;2;0
28.4;29.1;3.9;0.000188;2;0
28.4;29.1;3.6;0.000271;2;0
28.4;29.1;3.3;0.000373;2;0
28.4;29.1;3;0.000519;1;0
28.4;29.1;2.7;0.000697;1;0
28.4;29.1;2.4;0.000933;1;0
28.4;29.1;2.1;0.001211;0;0
28.4;29.1;1.8;0.001559;0;0
28.4;29.1;1.5;0.001958;0;0
28.4;29.1;1.2;0.002439;0;0
28.4;29.1;0.9;0.003001;0;0
28.4;29.1;0.6;0.003568;0;0
28.4;29.1;0.3;0.004194;0;0
28.4;29.1;0;0.004783;0;0
27.4;29.1;0;0.007087;0;0
27.4;29.1;0.3;0.006073;0;0
27.4;29.1;0.6;0.005014;0;0
27.4;29.1;0.9;0.004113;0;0
27.4;29.1;1.2;0.003328;0;0
27.4;29.1;1.5;0.002624;0;0
27.4;29.1;1.8;0.002054;0;0
27.4;29.1;2.1;0.001588;0;0
27.4;29.1;2.4;0.001222;0;0
27.4;29.1;2.7;0.000911;1;0
27.4;29.1;3;0.000667;1;0
27.4;29.1;3.3;0.000489;1;0
27.4;29.1;3.6;0.000342;2;0
27.4;29.1;3.9;0.000242;2;0
27.4;29.1;4.2;0.000161;2;0
27.4;29.1;4.5;0.00011;2;0
27.4;29.1;4.8;0.000074;2;0
27.4;29.1;5.1;0.000046;2;0
27.4;29.1;5.4;0.000029;2;0
27.4;29.1;5.7;0.000018;2;0
27.4;29.1;6;0.000011;2;0
26.4;29.1;6;0.00001;2;0
26.4;29.1;5.7;0.000019;2;0
26.4;29.1;5.4;0.000029;2;0
26.4;29.1;5.1;0.000044;2;0
26.4;29.1;4.8;0.00007;2;0
26.4;29.1;4.5;0.000108;2;0
26.4;29.1;4.2;0.000165;2;0
26.4;29.1;3.9;0.000234;2;0
26.4;29.1;3.6;0.000336;2;0
26.4;29.1;3.3;0.00048;1;0
26.4;29.1;3;0.000668;1;0
26.4;29.1;2.7;0.0009;1;0
26.4;29.1;2.4;0.001203;0;0
26.4;29.1;2.1;0.001592;0;0
26.4;29.1;1.8;0.002068;0;0
26.4;29.1;1.5;0.002645;0;0
26.4;29.1;1.2;0.003342;0;0
26.4;29.1;0.9;0.004179;0;0
26.4;29.1;0.6;0.005089;0;0
26.4;29.1;0.3;0.006173;0;0
26.4;29.1;0;0.007323;0;0
25.4;29.1;0;0.005287;0;0
25.4;29.1;0.3;0.004584;0;0
25.4;29.1;0.6;0.00389;0;0
25.4;29.1;0.9;0.003207;0;0
25.4;29.1;1.2;0.002651;0;0
25.4;29.1;1.5;0.002112;0;0
25.4;29.1;1.8;0.001661;0;0
25.4;29.1;2.1;0.001296;0;0
25.4;29.1;2.4;0.000983;0;0
25.4;29.1;2.7;0.000745;1;0
25.4;29.1;3;0.000549;1;0
25.4;29.1;3.3;0.000405;2;0
25.4;29.1;3.6;0.000282;2;0
25.4;29.1;3.9;0.000196;2;0
25.4;29.1;4.2;0.000135;2;0
25.4;29.1;4.5;0.00009;2;0
25.4;29.1;4.8;0.00006;2;0
25.4;29.1;5.1;0.00004;2;0
25.4;29.1;5.4;0.000026;2;0
25.4;29.1;5.7;0.000019;2;0
25.4;29.1;6;0.00001;2;0
24.4;29.1;6;0.00001;2;0
24.4;29.1;5.7;0.00001;2;0
24.4;29.1;5.4;0.000018;2;0
24.4;29.1;5.1;0.000026;2;0
24.4;29.1;4.8;0.000035;2;0
24.4;29.1;4.5;0.000059;2;0
24.4;29.1;4.2;0.000088;2;0
24.4;29.1;3.9;0.000128;2;0
24.4;29.1;3.6;0.000186;2;0
24.4;29.1;3.3;0.000256;2;0
24.4;29.1;3;0.000341;2;0
24.4;29.1;2.7;0.000465;2;0
24.4;29.1;2.4;0.000612;1;0
24.4;29.1;2.1;0.000798;1;0
24.4;29.1;1.8;0.001011;0;0
24.4;29.1;1.5;0.001264;0;0
24.4;29.1;1.2;0.001551;0;0
24.4;29.1;0.9;0.001851;0;0
24.4;29.1;0.6;0.002174;0;0
24.4;29.1;0.3;0.00248;0;0
24.4;29.1;0;0.002758;0;0
