#Grid-Scan using Optidos
#Timet: 13-11-18-13:12:31
#Unit: Gy
#Duration: 5 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
29.4;25.1;6;0.00001;2;0
28.4;25.1;6;0.000012;2;0
28.4;25.1;5.7;0.000021;2;0
28.4;25.1;5.4;0.000035;2;0
28.4;25.1;5.1;0.000051;2;0
28.4;25.1;4.8;0.000084;2;0
28.4;25.1;4.5;0.000121;2;0
28.4;25.1;4.2;0.000183;2;0
28.4;25.1;3.9;0.000276;2;0
28.4;25.1;3.6;0.000394;2;0
28.4;25.1;3.3;0.000558;1;0
28.4;25.1;3;0.000765;1;0
28.4;25.1;2.7;0.001049;0;0
28.4;25.1;2.4;0.001413;0;0
28.4;25.1;2.1;0.001872;0;0
28.4;25.1;1.8;0.002434;0;0
28.4;25.1;1.5;0.003151;0;0
28.4;25.1;1.2;0.004008;0;0
28.4;25.1;0.9;0.005032;0;0
28.4;25.1;0.6;0.006325;0;0
28.4;25.1;0.3;0.007793;0;0
28.4;25.1;0;0.009375;0;0
27.4;25.1;0;0.0145;0;0
27.4;25.1;0.3;0.01151;0;0
27.4;25.1;0.6;0.009058;0;0
27.4;25.1;0.9;0.007096;0;0
27.4;25.1;1.2;0.005483;0;0
27.4;25.1;1.5;0.004261;0;0
27.4;25.1;1.8;0.003248;0;0
27.4;25.1;2.1;0.002457;0;0
27.4;25.1;2.4;0.001839;0;0
27.4;25.1;2.7;0.001366;0;0
27.4;25.1;3;0.000995;0;0
27.4;25.1;3.3;0.000716;1;0
27.4;25.1;3.6;0.000515;1;0
27.4;25.1;3.9;0.000358;2;0
27.4;25.1;4.2;0.000244;2;0
27.4;25.1;4.5;0.000157;2;0
27.4;25.1;4.8;0.000106;2;0
27.4;25.1;5.1;0.000067;2;0
27.4;25.1;5.4;0.000042;2;0
27.4;25.1;5.7;0.000029;2;0
27.4;25.1;6;0.000017;2;0
26.4;25.1;6;0.000015;2;0
26.4;25.1;5.7;0.000027;2;0
26.4;25.1;5.4;0.000042;2;0
26.4;25.1;5.1;0.000068;2;0
26.4;25.1;4.8;0.0001;2;0
26.4;25.1;4.5;0.000155;2;0
26.4;25.1;4.2;0.000239;2;0
26.4;25.1;3.9;0.000347;2;0
26.4;25.1;3.6;0.000499;1;0
26.4;25.1;3.3;0.000703;1;0
26.4;25.1;3;0.000991;0;0
26.4;25.1;2.7;0.001366;0;0
26.4;25.1;2.4;0.001831;0;0
26.4;25.1;2.1;0.002443;0;0
26.4;25.1;1.8;0.003261;0;0
26.4;25.1;1.5;0.004234;0;0
26.4;25.1;1.2;0.005517;0;0
26.4;25.1;0.9;0.007097;0;0
26.4;25.1;0.6;0.009108;0;0
26.4;25.1;0.3;0.01161;0;0
26.4;25.1;0;0.01474;0;0
25.4;25.1;0;0.01023;0;0
25.4;25.1;0.3;0.008394;0;0
25.4;25.1;0.6;0.006788;0;0
25.4;25.1;0.9;0.005399;0;0
25.4;25.1;1.2;0.004256;0;0
25.4;25.1;1.5;0.003352;0;0
25.4;25.1;1.8;0.002582;0;0
25.4;25.1;2.1;0.001986;0;0
25.4;25.1;2.4;0.001495;0;0
25.4;25.1;2.7;0.001117;0;0
25.4;25.1;3;0.000816;1;0
25.4;25.1;3.3;0.000588;1;0
25.4;25.1;3.6;0.000418;2;0
25.4;25.1;3.9;0.000283;2;0
25.4;25.1;4.2;0.000193;2;0
25.4;25.1;4.5;0.000133;2;0
25.4;25.1;4.8;0.000085;2;0
25.4;25.1;5.1;0.000053;2;0
25.4;25.1;5.4;0.000034;2;0
25.4;25.1;5.7;0.00002;2;0
25.4;25.1;6;0.000012;2;0
24.4;25.1;6;0.00001;2;0
24.4;25.1;5.7;0.000016;2;0
24.4;25.1;5.4;0.000022;2;0
24.4;25.1;5.1;0.000033;2;0
24.4;25.1;4.8;0.000056;2;0
24.4;25.1;4.5;0.000086;2;0
24.4;25.1;4.2;0.000128;2;0
24.4;25.1;3.9;0.000182;2;0
24.4;25.1;3.6;0.000273;2;0
24.4;25.1;3.3;0.000379;2;0
24.4;25.1;3;0.000518;1;0
24.4;25.1;2.7;0.000704;1;0
24.4;25.1;2.4;0.000925;1;0
24.4;25.1;2.1;0.001211;0;0
24.4;25.1;1.8;0.001569;0;0
24.4;25.1;1.5;0.001977;0;0
24.4;25.1;1.2;0.002495;0;0
24.4;25.1;0.9;0.003049;0;0
24.4;25.1;0.6;0.003704;0;0
24.4;25.1;0.3;0.004402;0;0
24.4;25.1;0;0.005056;0;0
24.4;26.1;0;0.007387;0;0
