#Grid-Scan using Optidos
#Timet: 13-11-18-13:52:16
#Unit: Gy
#Duration: 10 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
19.9;26.6;0;0.000076;2;0
20.4;26.6;0;0.000149;2;0
20.9;26.6;0;0.000286;2;0
21.4;26.6;0;0.000543;2;0
21.9;26.6;0;0.001012;1;0
22.4;26.6;0;0.00185;1;0
22.9;26.6;0;0.003287;0;0
23.4;26.6;0;0.005742;0;0
23.9;26.6;0;0.009734;0;0
24.4;26.6;0;0.01574;0;0
24.9;26.6;0;0.02407;0;0
25.4;26.6;0;0.03353;0;0
25.9;26.6;0;0.04262;0;0
26.4;26.6;0;0.04881;0;0
26.9;26.6;0;0.05079;0;0
27.4;26.6;0;0.0481;0;0
27.9;26.6;0;0.04125;0;0
28.4;26.6;0;0.03155;0;0
28.9;26.6;0;0.02173;0;0
29.4;26.6;0;0.01373;0;0
29.9;26.6;0;0.008259;0;0
30.4;26.6;0;0.004789;0;0
30.9;26.6;0;0.002735;0;0
31.4;26.6;0;0.001505;1;0
31.9;26.6;0;0.000819;2;0
32.4;26.6;0;0.000436;2;0
32.9;26.6;0;0.000227;2;0
33.4;26.6;0;0.000115;2;0
33.9;26.6;0;0.000056;2;0
